505942,Aaron Appindangoye,02/29/92,182.88,187,67,71,right,medium,medium,49,44,71,61,44,51,45,39,64,49,60,64,59,47,65,55,58,54,76,35,71,70,45,54,48,65,69,69,6,11,10,8,8
155782,Aaron Cresswell,12/15/89,170.18,146,74,76,left,high,medium,80,53,58,71,40,73,70,69,68,71,79,78,78,67,90,71,85,79,56,62,68,67,60,66,59,76,75,78,14,7,9,9,12
162549,Aaron Doran,05/13/91,170.18,163,65,67,right,medium,medium,64,58,60,66,52,66,67,63,62,67,77,74,85,51,92,61,65,66,71,57,60,55,64,68,61,23,22,24,16,11,12,9,13
30572,Aaron Galindo,05/08/82,182.88,198,69,69,right,medium,medium,57,21,68,65,48,56,38,40,61,62,33,34,62,57,41,59,71,49,90,29,70,62,26,54,37,72,71,68,15,12,13,12,11
23780,Aaron Hughes,11/08/79,182.88,154,70,70,right,medium,medium,46,34,73,65,33,47,42,25,58,58,33,31,41,68,52,48,67,60,75,26,66,68,29,41,45,75,73,71,8,6,16,12,11
27316,Aaron Hunt,09/04/86,182.88,161,77,77,left,medium,medium,77,72,64,79,77,78,77,76,70,79,75,69,76,80,72,76,65,75,65,76,59,55,77,76,81,28,34,35,15,12,7,16,15
564793,Aaron Kuhl,01/30/96,172.72,146,61,74,right,medium,high,48,32,47,64,34,54,56,40,64,63,69,67,60,61,80,53,71,68,59,38,75,54,39,61,42,52,58,57,8,13,14,14,15
30895,Aaron Lennon,04/16/87,165.1,139,77,77,right,high,medium,78,66,28,76,68,84,63,55,54,81,89,89,93,74,92,62,71,75,56,57,57,37,71,73,62,30,34,35,14,7,7,16,11
528212,Aaron Lennox,02/19/93,190.5,181,48,56,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
101042,Aaron Meijers,10/28/87,175.26,170,69,69,left,medium,medium,63,42,59,70,60,70,72,67,53,74,75,77,69,70,72,67,70,78,66,61,73,67,65,71,56,67,68,65,7,15,7,10,15
23889,Aaron Mokoena,11/25/80,182.88,181,68,68,right,medium,high,26,53,76,73,32,64,44,66,67,64,49,67,55,67,59,47,75,67,71,25,70,71,58,53,34,67,73,72,7,5,13,13,13
231592,Aaron Mooy,09/15/90,175.26,150,75,78,right,medium,medium,74,69,46,79,65,73,73,78,79,73,69,71,71,66,67,70,72,83,64,72,75,63,73,81,73,56,65,62,11,8,12,11,12
163222,Aaron Muirhead,08/30/90,187.96,168,62,70,right,medium,high,48,23,65,58,25,46,21,24,56,48,68,69,49,62,53,37,71,55,82,24,65,59,21,31,74,59,61,54,8,11,6,6,7
40719,Aaron Niguez,04/26/89,170.18,143,70,71,left,medium,medium,64,67,54,64,61,75,66,68,56,76,82,78,82,66,84,74,70,67,51,72,45,45,70,62,67,36,31,37,14,13,9,15,10
75489,Aaron Ramsey,12/26/90,177.8,154,82,85,right,high,high,75,75,58,83,79,81,70,70,80,82,69,69,77,82,75,81,65,92,69,75,74,69,83,81,75,62,74,68,6,11,5,10,8
597948,Aaron Splaine,10/13/96,172.72,163,55,63,left,medium,medium,55,52,43,55,42,53,45,43,52,52,65,66,70,53,62,54,52,55,37,52,49,30,52,55,55,43,47,45,11,13,8,14,9
161644,Aaron Taylor-Sinclair,04/08/91,182.88,176,64,68,left,high,medium,62,26,59,62,25,66,57,58,47,62,72,74,75,62,68,59,71,81,70,30,65,55,49,50,40,53,64,64,9,11,12,8,9
23499,Aaron Wilbraham,10/21/79,190.5,159,65,65,right,medium,medium,49,67,78,68,56,49,43,42,39,65,51,53,44,67,52,69,70,53,82,47,77,24,67,68,73,23,20,19,12,13,10,10,9
120919,Aatif Chahechouhe,07/02/86,175.26,150,75,75,right,high,medium,70,77,63,75,77,78,69,63,68,78,79,77,81,74,77,78,58,74,62,74,39,40,78,70,85,26,27,24,7,10,8,15,10
46447,Abasse Ba,07/12/76,187.96,185,64,71,right,1,None,41,33,74,57,24,30,35,40,45,44,60,61,59,58,73,48,75,64,71,39,71,58,28,61,39,62,61,57,15,14,13,10,12
167027,Abdelaziz Barrada,06/19/89,177.8,161,74,75,right,medium,medium,74,64,61,76,63,76,76,78,75,78,73,76,80,75,72,71,68,63,68,70,70,36,71,74,71,35,42,33,11,7,6,16,7
245653,Abdelfettah Boukhriss,10/22/86,185.42,161,64,69,left,None,None,47,29,65,57,36,47,27,45,55,52,62,67,65,64,59,57,64,65,65,37,67,59,23,52,42,64,65,62,11,5,15,10,10
128456,Abdelhamid El Kaoutari,03/17/90,180.34,161,73,75,left,medium,medium,65,17,66,64,24,51,23,23,56,63,68,66,50,68,59,59,73,64,74,38,85,72,48,52,32,75,76,77,9,11,10,8,9
42664,Abdelkader Ghezzal,12/05/84,182.88,172,67,67,right,medium,medium,65,61,65,68,70,70,64,63,53,71,71,77,67,69,61,69,64,61,79,69,61,25,67,50,68,29,32,31,10,6,11,6,7
425950,Abdellah Zoubir,12/05/91,180.34,161,59,69,right,medium,medium,49,56,47,56,64,73,52,48,53,64,71,70,73,67,63,57,66,47,43,53,36,28,52,46,58,36,32,30,7,14,14,13,14
38423,Abdelmajid Oulmers,09/12/78,172.72,143,68,70,right,None,None,60,50,60,74,0,74,0,53,62,73,74,70,0,63,0,64,0,71,64,55,63,69,70,0,47,52,50,0,7,20,62,20,20
